what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829308958
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829326146
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1287829326224
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287829328193
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287829328302
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1287829331599
error,log,,,"org.tigris.subversion.javahl.ClientException: Working copy not locked; this is probably a bug, please report\nsvn: Directory 'E:\\java\\default project\\bin\\types\\.svn' containing working copy admin area is missing\n",1287829332068
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1287829333646
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829334896
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829338537
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1287829338599
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829342052
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829343349
executed,command,org.tigris.subversion.subclipse.ui,1.6.13,"org.tigris.subversion.subclipse.ui.commit",1287829343412
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829343677
error,log,,,"org.tigris.subversion.javahl.ClientException: Merge conflict during commit\nsvn: Commit failed (details follow):\nsvn: File or directory 'ClassTable.java' is out of date; try updating\nsvn: The version resource does not correspond to the resource within the transaction.  Either the requested version resource is out of date (needs to be updated), or the requested version resource is newer than the transaction root (restart the commit).\n",1287829343771
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829358099
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287829359271
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1287829362271
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1287829362865
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829363880
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829383365
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1287829384490
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287829384818
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287829384943
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1287829386458
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1287829386990
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1287829387427
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829387912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829432537
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1287829433615
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287829436224
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1287829436412
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1287829438630
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1287829439552
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829440599
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1287829500005
